age_cat,dates_diff_in_days,ethnicity,score_text,sex
adult,336,Hispanic,Low,Female
adult,91,African-American,High,Male
adult,328,African-American,Low,Male
adult,795,African-American,Medium,Male
adult,63,African-American,High,Male
adult,107,African-American,Medium,Male
adult,131,Caucasian,High,Male
adult,429,African-American,Medium,Male
young,113,African-American,Low,Male
senior,780,African-American,Low,Male
young,170,Hispanic,Medium,Male
young,51,African-American,Medium,Male
senior,579,Caucasian,Low,Male
adult,485,African-American,Low,Female
adult,96,Caucasian,Medium,Female
adult,319,African-American,Low,Male
adult,235,African-American,Low,Male
young,88,African-American,Low,Female
adult,22,African-American,High,Male
young,337,African-American,Medium,Male
adult,63,African-American,High,Male
adult,61,Caucasian,Low,Female
young,1689,African-American,High,Male
adult,87,African-American,High,Male
adult,76,African-American,Low,Female
adult,968,African-American,Medium,Male
young,7,African-American,High,Male
young,116,Other,High,Male
adult,707,African-American,Medium,Male
adult,114,Caucasian,Low,Male
young,391,African-American,Low,Male
young,233,Caucasian,Medium,Male
adult,204,African-American,Medium,Male
young,286,African-American,Medium,Female
adult,148,African-American,High,Male
adult,129,Caucasian,Low,Male
adult,43,African-American,High,Female
adult,558,Caucasian,Medium,Female
senior,463,African-American,High,Male
adult,104,Hispanic,Medium,Male
adult,24,Caucasian,Low,Male
adult,128,Caucasian,Low,Male
adult,72,Other,Low,Male
adult,342,Caucasian,Low,Male
adult,482,Hispanic,Low,Male
senior,17,African-American,Low,Male
adult,50,African-American,Medium,Male
adult,91,African-American,Medium,Male
adult,828,Other,Low,Male
young,461,African-American,Medium,Male
adult,72,Native American,Medium,Female
adult,492,Hispanic,Low,Male
senior,151,African-American,Medium,Male
adult,66,Hispanic,Low,Male
senior,531,Caucasian,Low,Male
adult,299,Caucasian,Low,Male
young,481,Other,Low,Male
adult,35,Caucasian,High,Female
adult,258,African-American,Medium,Male
adult,243,African-American,Medium,Male
adult,134,African-American,High,Male
adult,51,African-American,High,Male
adult,471,African-American,Medium,Male
adult,108,African-American,High,Male
young,342,African-American,Low,Female
adult,634,Other,Low,Male
adult,157,Caucasian,High,Male
adult,190,African-American,Low,Male
adult,541,African-American,Medium,Female
adult,231,African-American,High,Male
adult,344,Caucasian,Medium,Male
adult,327,Caucasian,Low,Female
young,195,Caucasian,Medium,Male
adult,697,Caucasian,Medium,Male
senior,4,Caucasian,Low,Male
young,7,African-American,Medium,Male
adult,18,African-American,Low,Male
adult,390,African-American,Medium,Male
adult,415,Caucasian,Low,Male
young,84,Caucasian,High,Male
adult,368,African-American,High,Male
senior,583,Caucasian,Low,Male
adult,103,African-American,Low,Male
young,80,African-American,Low,Male
adult,549,Caucasian,Medium,Male
senior,84,African-American,Medium,Male
young,571,African-American,Medium,Male
adult,380,Caucasian,Medium,Male
adult,580,African-American,Medium,Female
young,18,Caucasian,Medium,Female
adult,324,Caucasian,Low,Male
senior,102,Caucasian,Low,Male
adult,354,African-American,High,Male
young,37,African-American,High,Male
young,364,Other,High,Male
senior,246,Other,Low,Male
adult,131,Other,Low,Male
adult,41,Caucasian,Low,Female
adult,336,Caucasian,Low,Male
young,70,African-American,Medium,Male
adult,391,African-American,High,Male
adult,446,Hispanic,Low,Male
adult,205,African-American,Medium,Male
adult,1066,African-American,High,Male
young,85,Hispanic,Low,Male
senior,315,African-American,Medium,Male
senior,403,Caucasian,Low,Male
adult,386,African-American,Low,Male
adult,573,African-American,Medium,Female
adult,465,Caucasian,Low,Male
adult,89,African-American,High,Male
adult,313,Hispanic,Medium,Male
young,666,African-American,Medium,Male
adult,288,African-American,High,Male
adult,287,Caucasian,High,Male
senior,519,Caucasian,High,Male
young,636,African-American,Low,Male
senior,8,African-American,High,Male
adult,44,African-American,High,Male
adult,48,Caucasian,High,Male
young,94,African-American,Medium,Male
young,346,African-American,Medium,Male
adult,111,African-American,Medium,Female
adult,237,African-American,Low,Male
young,62,African-American,High,Male
young,25,African-American,Medium,Male
young,17,Hispanic,Low,Male
young,329,African-American,Low,Male
young,343,African-American,High,Male
adult,50,African-American,Medium,Male
adult,163,Caucasian,Low,Male
young,217,Caucasian,High,Male
senior,96,African-American,Low,Male
adult,344,Caucasian,Low,Male
senior,838,African-American,Low,Male
senior,816,African-American,Medium,Female
senior,190,Caucasian,Medium,Female
adult,34,African-American,Medium,Male
adult,1507,African-American,Medium,Male
young,511,African-American,Low,Female
young,178,African-American,Low,Male
adult,12,Caucasian,High,Male
senior,141,African-American,Low,Male
senior,336,Other,Low,Male
young,181,Asian,High,Male
adult,149,African-American,Medium,Male
adult,332,Hispanic,Low,Male
young,102,African-American,Low,Female
senior,80,Hispanic,Low,Male
adult,66,Caucasian,High,Female
adult,190,African-American,Medium,Male
adult,333,African-American,Medium,Female
adult,116,African-American,High,Male
adult,236,African-American,Low,Male
adult,655,Caucasian,High,Male
adult,116,African-American,Medium,Male
adult,672,African-American,Low,Female
senior,219,African-American,Medium,Male
adult,557,African-American,Low,Male
young,115,African-American,Medium,Male
senior,435,African-American,High,Male
adult,189,Caucasian,High,Female
adult,213,African-American,Medium,Female
senior,635,Hispanic,Medium,Male
adult,230,African-American,Low,Male
senior,13,Hispanic,Low,Female
adult,351,African-American,High,Female
adult,207,African-American,High,Female
adult,743,Caucasian,High,Male
adult,54,Caucasian,Medium,Male
young,585,African-American,High,Male
adult,63,Caucasian,High,Male
young,50,African-American,Medium,Male
adult,10,African-American,Medium,Male
adult,214,Caucasian,Low,Male
adult,89,African-American,Medium,Male
adult,539,Hispanic,High,Male
young,162,African-American,Medium,Male
adult,42,Caucasian,Low,Male
young,764,African-American,Medium,Male
young,282,African-American,High,Male
senior,1192,African-American,High,Male
young,531,African-American,High,Male
senior,116,Caucasian,Low,Male
senior,34,African-American,Medium,Male
young,12,African-American,Medium,Female
adult,644,Caucasian,Medium,Female
adult,491,African-American,Low,Male
adult,351,Caucasian,Low,Female
adult,393,African-American,Medium,Male
young,23,African-American,Medium,Female
adult,145,African-American,High,Male
young,655,Caucasian,Medium,Male
adult,530,African-American,Low,Male
young,260,Hispanic,Low,Female
senior,267,African-American,High,Male
senior,419,African-American,Low,Male
senior,112,Caucasian,Low,Male
young,13,African-American,Low,Male
adult,517,Other,Medium,Female
adult,794,Caucasian,Low,Male
young,92,African-American,High,Male
young,124,African-American,Medium,Male
adult,6,African-American,High,Female
adult,216,Caucasian,Low,Male
adult,552,African-American,High,Male
adult,107,African-American,High,Female
young,157,African-American,High,Male
young,166,African-American,High,Male
adult,348,African-American,Medium,Male
young,476,African-American,High,Female
adult,128,African-American,Low,Female
young,421,Caucasian,High,Male
adult,107,African-American,Medium,Male
young,139,African-American,High,Male
adult,63,African-American,High,Female
adult,662,African-American,Medium,Male
senior,390,Caucasian,Low,Female
young,280,Other,High,Male
adult,130,Caucasian,Low,Male
adult,609,African-American,Medium,Female
senior,138,Caucasian,Low,Male
adult,346,African-American,High,Female
young,207,Caucasian,Medium,Male
adult,684,African-American,Low,Male
adult,506,Caucasian,Medium,Female
young,35,African-American,Medium,Male
young,4,African-American,High,Male
young,177,African-American,High,Male
adult,1402,African-American,Medium,Male
young,104,African-American,High,Male
adult,321,Caucasian,Low,Male
senior,310,Hispanic,Low,Male
adult,112,Caucasian,Low,Male
adult,407,Other,Medium,Male
young,863,African-American,Medium,Male
adult,82,African-American,Low,Male
adult,86,African-American,Medium,Male
young,190,African-American,High,Male
adult,89,African-American,Low,Male
adult,109,Hispanic,Medium,Male
adult,455,African-American,High,Male
senior,311,African-American,Medium,Male
young,466,Hispanic,Medium,Male
adult,524,Caucasian,Low,Male
adult,68,Caucasian,High,Female
adult,390,African-American,Low,Male
senior,21,African-American,Low,Male
adult,453,African-American,Low,Male
senior,247,Caucasian,Low,Male
young,280,African-American,High,Male
young,338,Hispanic,Medium,Male
adult,29,Caucasian,Medium,Male
young,337,African-American,Medium,Male
senior,571,African-American,Low,Male
adult,165,African-American,High,Male
adult,357,Caucasian,Medium,Male
adult,128,Caucasian,Low,Male
senior,43,Other,Low,Male
adult,540,African-American,High,Female
adult,36,African-American,High,Male
adult,336,African-American,Medium,Male
young,128,Caucasian,Low,Male
senior,293,Caucasian,Medium,Male
senior,303,Caucasian,Low,Male
senior,86,Caucasian,Low,Male
senior,116,Caucasian,Low,Male
adult,700,Hispanic,Low,Female
young,561,Caucasian,Medium,Male
adult,27,African-American,High,Male
adult,223,Caucasian,Low,Male
young,306,Native American,Low,Female
senior,232,Caucasian,Medium,Male
senior,319,African-American,Low,Male
adult,83,African-American,Medium,Male
adult,93,African-American,High,Male
adult,103,African-American,High,Male
adult,65,Caucasian,High,Male
adult,664,African-American,Low,Male
adult,405,African-American,High,Male
adult,133,African-American,High,Male
adult,95,African-American,Medium,Male
young,54,Caucasian,Medium,Female
adult,264,African-American,Low,Male
young,128,African-American,Low,Female
senior,677,Hispanic,Low,Male
adult,297,Caucasian,Medium,Female
adult,734,African-American,Low,Female
adult,78,African-American,High,Male
adult,707,African-American,High,Female
adult,74,African-American,High,Male
adult,290,African-American,Low,Female
senior,763,African-American,Low,Male
adult,373,African-American,Low,Male
adult,31,African-American,Low,Female
senior,313,African-American,Medium,Male
young,37,African-American,Low,Male
adult,20,African-American,Medium,Female
adult,318,African-American,Medium,Male
senior,233,Caucasian,Low,Male
young,418,African-American,High,Male
adult,304,African-American,High,Male
adult,60,African-American,High,Male
young,800,African-American,Medium,Male
adult,24,African-American,High,Male
adult,364,Caucasian,Medium,Male
senior,70,Caucasian,Low,Male
adult,83,Caucasian,Medium,Female
adult,105,African-American,Low,Male
young,5,African-American,High,Male
adult,121,African-American,Low,Male
adult,111,African-American,Medium,Male
adult,539,Caucasian,Low,Female
adult,126,African-American,Medium,Male
young,90,Other,Low,Male
senior,235,Caucasian,Low,Male
adult,65,Caucasian,Low,Female
adult,128,African-American,Medium,Male
adult,16,African-American,Low,Male
adult,108,African-American,High,Male
adult,435,African-American,High,Male
adult,114,African-American,Medium,Female
senior,348,African-American,Low,Male
adult,56,African-American,Low,Male
adult,560,African-American,Medium,Male
young,749,Hispanic,Medium,Female
adult,796,African-American,High,Male
adult,382,Native American,Low,Female
adult,49,African-American,High,Male
young,181,African-American,Medium,Male
adult,338,Caucasian,Medium,Male
adult,278,Other,Low,Male
adult,481,Hispanic,Medium,Male
adult,416,Caucasian,Low,Male
young,414,African-American,Low,Male
senior,93,African-American,High,Male
adult,153,African-American,High,Male
adult,3,Caucasian,Low,Male
adult,63,Caucasian,Low,Male
young,259,African-American,Medium,Male
adult,285,African-American,Medium,Female
young,17,African-American,Medium,Female
young,458,African-American,Medium,Male
young,119,African-American,High,Female
adult,27,African-American,High,Male
young,314,Caucasian,High,Male
young,401,Caucasian,Low,Male
senior,31,Caucasian,Low,Male
senior,204,African-American,Low,Male
adult,120,African-American,High,Female
senior,199,African-American,High,Male
adult,396,Caucasian,Medium,Male
young,844,African-American,Medium,Male
young,31,African-American,High,Male
senior,226,African-American,Medium,Female
adult,672,Caucasian,Low,Male
adult,192,African-American,Low,Male
adult,65,African-American,High,Male
adult,61,African-American,High,Male
senior,32,Caucasian,Low,Female
adult,697,African-American,Medium,Male
adult,730,African-American,High,Male
adult,364,Other,Low,Male
young,14,African-American,Low,Female
adult,665,Caucasian,Medium,Male
adult,9,Caucasian,Low,Male
young,217,African-American,Medium,Male
adult,37,Hispanic,Low,Male
adult,252,African-American,Low,Male
adult,926,African-American,High,Male
senior,215,African-American,High,Male
adult,337,Caucasian,Medium,Male
young,586,African-American,Low,Male
adult,98,Other,Low,Male
adult,5,African-American,Low,Female
senior,290,Hispanic,Low,Female
adult,605,African-American,Low,Male
adult,346,Other,Medium,Male
adult,804,Caucasian,Low,Male
adult,189,African-American,High,Male
senior,286,African-American,Medium,Male
young,296,Caucasian,Low,Female
young,9,African-American,Low,Male
senior,30,African-American,Low,Male
young,513,Caucasian,Medium,Male
